artist_id,album_name,album_id,release_date,total_tracks,url_image
0roeI3yPusDWwWRzAqTopw,Bright Young Things Live at the Marquee,409tES7RbAP83rxFEz59FD,2019-03-22,25,https://i.scdn.co/image/ab67616d0000b27382c33668cbf2ae26b029532a
0roeI3yPusDWwWRzAqTopw,Voyages,1wvcVbDW7F4ALj9aCh9ged,2018-11-02,16,https://i.scdn.co/image/ab67616d0000b273a1dd49dc930832be23c88409
0roeI3yPusDWwWRzAqTopw,Passages,0sMKZOihmPdESS8suMaA4j,2018-04-20,12,https://i.scdn.co/image/ab67616d0000b273904ba2356a12ce08dc5c75de
0roeI3yPusDWwWRzAqTopw,The Collection,2FYHNKaYGWCowFws02sEDv,2011-08-03,36,https://i.scdn.co/image/ab67616d0000b273bb136120e6499d2ec75f004b
0roeI3yPusDWwWRzAqTopw,The Remixes,2RRk5WhIuSos2m5RQWqyr2,2008-01-25,12,https://i.scdn.co/image/ab67616d0000b273cb20177c0865d6f93c337162
0roeI3yPusDWwWRzAqTopw,London,5hcyt9fwjv3bSHSbOLNdQb,2001-10-09,14,https://i.scdn.co/image/ab67616d0000b2735420496dbea676a407829b1f
0roeI3yPusDWwWRzAqTopw,Already,2wmJuC0TkLgWMCGSJ56yvU,1997-05-21,12,https://i.scdn.co/image/ab67616d0000b273cc609806b3896aea33c5e7dc
0roeI3yPusDWwWRzAqTopw,Scratched: Unreleased Rare Tracks & Remixes,5nEsrcazvAhWAjijlzvKKU,1993,15,https://i.scdn.co/image/ab67616d0000b27312a29b110dc9b4f3a6b088c8
0roeI3yPusDWwWRzAqTopw,Perverse,4DkVX8rMCQOTg9743dJwnT,1993,12,https://i.scdn.co/image/ab67616d0000b273188cfe2517a8bf0952ca9b0d
0roeI3yPusDWwWRzAqTopw,Doubt,7hKst6QIxeAcpOx3o2y6mi,1991-01-28,21,https://i.scdn.co/image/ab67616d0000b273bb31ee7f9507621c548f1ec2
